area,registro_id,indicador,tipo_registro,icono,color,color_claro,headline,headline_sufijo,unidad,tendencia_direccion,tendencia_texto,meta_pct,meta_label,anio,valor,tabulado_encabezado_categoria,tabulado_encabezado_valor,desagregacion_categoria,desagregacion_valor,impacto_texto,es_dato_real,titulo_construccion,mensaje_construccion,nota
kpis-proteccion-social,8,Bienestar Social · Personas Adultas Mayores (PAM),serie_historica,elders,var(--azul-med),var(--azul-pale),113.496,personas atendidas · corte julio 2026,count,,Serie histórica disponible: 2018-2025,,,2024,111176,,,,,,TRUE,,,Datos reales: total julio 2026 desde caracterizacion_proteccion_social.csv y serie diciembre 2018–2025 desde series_historicas_servicios.csv.
kpis-proteccion-social,8,Bienestar Social · Personas Adultas Mayores (PAM),serie_historica,elders,var(--azul-med),var(--azul-pale),113.496,personas atendidas · corte julio 2026,count,,Serie histórica disponible: 2018-2025,,,2025,111703,,,,,,TRUE,,,Datos reales: total julio 2026 desde caracterizacion_proteccion_social.csv y serie diciembre 2018–2025 desde series_historicas_servicios.csv.
kpis-proteccion-social,7,Bienestar Social · Personas con Discapacidad (PCD),desagregacion_actual,careheart,var(--verde),var(--verde-l),37.052,personas atendidas · corte julio 2026,count,,Serie histórica disponible: 2018-2025,,,,,Corte,Usuarios,Julio 2026,37.052,,TRUE,,,Datos reales: total julio 2026 desde caracterizacion_proteccion_social.csv y serie diciembre 2018–2025 desde series_historicas_servicios.csv.
kpis-proteccion-social,7,Bienestar Social · Personas con Discapacidad (PCD),serie_historica,careheart,var(--verde),var(--verde-l),37.052,personas atendidas · corte julio 2026,count,,Serie histórica disponible: 2018-2025,,,2018,34776,,,,,,TRUE,,,Datos reales: total julio 2026 desde caracterizacion_proteccion_social.csv y serie diciembre 2018–2025 desde series_historicas_servicios.csv.
kpis-proteccion-social,7,Bienestar Social · Personas con Discapacidad (PCD),serie_historica,careheart,var(--verde),var(--verde-l),37.052,personas atendidas · corte julio 2026,count,,Serie histórica disponible: 2018-2025,,,2019,34614,,,,,,TRUE,,,Datos reales: total julio 2026 desde caracterizacion_proteccion_social.csv y serie diciembre 2018–2025 desde series_historicas_servicios.csv.
kpis-proteccion-social,7,Bienestar Social · Personas con Discapacidad (PCD),serie_historica,careheart,var(--verde),var(--verde-l),37.052,personas atendidas · corte julio 2026,count,,Serie histórica disponible: 2018-2025,,,2020,34489,,,,,,TRUE,,,Datos reales: total julio 2026 desde caracterizacion_proteccion_social.csv y serie diciembre 2018–2025 desde series_historicas_servicios.csv.
kpis-proteccion-social,7,Bienestar Social · Personas con Discapacidad (PCD),serie_historica,careheart,var(--verde),var(--verde-l),37.052,personas atendidas · corte julio 2026,count,,Serie histórica disponible: 2018-2025,,,2021,34568,,,,,,TRUE,,,Datos reales: total julio 2026 desde caracterizacion_proteccion_social.csv y serie diciembre 2018–2025 desde series_historicas_servicios.csv.
kpis-proteccion-social,7,Bienestar Social · Personas con Discapacidad (PCD),serie_historica,careheart,var(--verde),var(--verde-l),37.052,personas atendidas · corte julio 2026,count,,Serie histórica disponible: 2018-2025,,,2022,33680,,,,,,TRUE,,,Datos reales: total julio 2026 desde caracterizacion_proteccion_social.csv y serie diciembre 2018–2025 desde series_historicas_servicios.csv.
kpis-proteccion-social,7,Bienestar Social · Personas con Discapacidad (PCD),serie_historica,careheart,var(--verde),var(--verde-l),37.052,personas atendidas · corte julio 2026,count,,Serie histórica disponible: 2018-2025,,,2023,34297,,,,,,TRUE,,,Datos reales: total julio 2026 desde caracterizacion_proteccion_social.csv y serie diciembre 2018–2025 desde series_historicas_servicios.csv.
kpis-proteccion-social,7,Bienestar Social · Personas con Discapacidad (PCD),serie_historica,careheart,var(--verde),var(--verde-l),37.052,personas atendidas · corte julio 2026,count,,Serie histórica disponible: 2018-2025,,,2024,34765,,,,,,TRUE,,,Datos reales: total julio 2026 desde caracterizacion_proteccion_social.csv y serie diciembre 2018–2025 desde series_historicas_servicios.csv.
kpis-proteccion-social,7,Bienestar Social · Personas con Discapacidad (PCD),serie_historica,careheart,var(--verde),var(--verde-l),37.052,personas atendidas · corte julio 2026,count,,Serie histórica disponible: 2018-2025,,,2025,36214,,,,,,TRUE,,,Datos reales: total julio 2026 desde caracterizacion_proteccion_social.csv y serie diciembre 2018–2025 desde series_historicas_servicios.csv.
kpis-proteccion-social,6,Bienestar Social · Protección Especial (PE),desagregacion_actual,shield,var(--rojo),var(--rojo-l),29.918,personas atendidas · corte julio 2026,count,,Serie histórica disponible: 2018-2025,,,,,Corte,Usuarios,Julio 2026,29.918,,TRUE,,,Datos reales: total julio 2026 desde caracterizacion_proteccion_social.csv y serie diciembre 2018–2025 desde series_historicas_servicios.csv.
kpis-proteccion-social,6,Bienestar Social · Protección Especial (PE),serie_historica,shield,var(--rojo),var(--rojo-l),29.918,personas atendidas · corte julio 2026,count,,Serie histórica disponible: 2018-2025,,,2018,13131,,,,,,TRUE,,,Datos reales: total julio 2026 desde caracterizacion_proteccion_social.csv y serie diciembre 2018–2025 desde series_historicas_servicios.csv.
kpis-proteccion-social,6,Bienestar Social · Protección Especial (PE),serie_historica,shield,var(--rojo),var(--rojo-l),29.918,personas atendidas · corte julio 2026,count,,Serie histórica disponible: 2018-2025,,,2019,14019,,,,,,TRUE,,,Datos reales: total julio 2026 desde caracterizacion_proteccion_social.csv y serie diciembre 2018–2025 desde series_historicas_servicios.csv.
kpis-proteccion-social,6,Bienestar Social · Protección Especial (PE),serie_historica,shield,var(--rojo),var(--rojo-l),29.918,personas atendidas · corte julio 2026,count,,Serie histórica disponible: 2018-2025,,,2020,14918,,,,,,TRUE,,,Datos reales: total julio 2026 desde caracterizacion_proteccion_social.csv y serie diciembre 2018–2025 desde series_historicas_servicios.csv.
kpis-proteccion-social,6,Bienestar Social · Protección Especial (PE),serie_historica,shield,var(--rojo),var(--rojo-l),29.918,personas atendidas · corte julio 2026,count,,Serie histórica disponible: 2018-2025,,,2021,25032,,,,,,TRUE,,,Datos reales: total julio 2026 desde caracterizacion_proteccion_social.csv y serie diciembre 2018–2025 desde series_historicas_servicios.csv.
kpis-proteccion-social,6,Bienestar Social · Protección Especial (PE),serie_historica,shield,var(--rojo),var(--rojo-l),29.918,personas atendidas · corte julio 2026,count,,Serie histórica disponible: 2018-2025,,,2022,29654,,,,,,TRUE,,,Datos reales: total julio 2026 desde caracterizacion_proteccion_social.csv y serie diciembre 2018–2025 desde series_historicas_servicios.csv.
kpis-proteccion-social,6,Bienestar Social · Protección Especial (PE),serie_historica,shield,var(--rojo),var(--rojo-l),29.918,personas atendidas · corte julio 2026,count,,Serie histórica disponible: 2018-2025,,,2023,31957,,,,,,TRUE,,,Datos reales: total julio 2026 desde caracterizacion_proteccion_social.csv y serie diciembre 2018–2025 desde series_historicas_servicios.csv.
kpis-proteccion-social,6,Bienestar Social · Protección Especial (PE),serie_historica,shield,var(--rojo),var(--rojo-l),29.918,personas atendidas · corte julio 2026,count,,Serie histórica disponible: 2018-2025,,,2024,31702,,,,,,TRUE,,,Datos reales: total julio 2026 desde caracterizacion_proteccion_social.csv y serie diciembre 2018–2025 desde series_historicas_servicios.csv.
kpis-proteccion-social,6,Bienestar Social · Protección Especial (PE),serie_historica,shield,var(--rojo),var(--rojo-l),29.918,personas atendidas · corte julio 2026,count,,Serie histórica disponible: 2018-2025,,,2025,30354,,,,,,TRUE,,,Datos reales: total julio 2026 desde caracterizacion_proteccion_social.csv y serie diciembre 2018–2025 desde series_historicas_servicios.csv.
kpis-proteccion-social,16,Bienestar Social · Alertas SUUSEN,pendiente,doc,var(--subtexto),var(--gris),,,,,,,,,,,,,,,FALSE,Alertas SUUSEN,Esta sección está en construcción porque aún no existe una base oficial cargada en datos/.,Sin cifras: se mantiene únicamente el estado En construcción hasta cargar una base oficial.
kpis-proteccion-social,12,Bienestar Social · Movilidad Social,desagregacion_actual,movilidad,var(--azul),var(--azul-pale),5.080,créditos otorgados en julio 2026,count,,Serie histórica disponible: 2018-2025 (provisional),,,,,Corte,Créditos,Julio 2026,5.080,,TRUE,,,Cifra actual real (julio 2026); serie histórica 2018-2025 es PROVISIONAL (placeholder) hasta contar con la base oficial mensual.
kpis-proteccion-social,12,Bienestar Social · Movilidad Social,serie_historica,movilidad,var(--azul),var(--azul-pale),5.080,créditos otorgados en julio 2026,count,,Serie histórica disponible: 2018-2025 (provisional),,,2018,3200,,,,,,FALSE,,,Cifra actual real (julio 2026); serie histórica 2018-2025 es PROVISIONAL (placeholder) hasta contar con la base oficial mensual.
kpis-proteccion-social,12,Bienestar Social · Movilidad Social,serie_historica,movilidad,var(--azul),var(--azul-pale),5.080,créditos otorgados en julio 2026,count,,Serie histórica disponible: 2018-2025 (provisional),,,2019,3450,,,,,,FALSE,,,Cifra actual real (julio 2026); serie histórica 2018-2025 es PROVISIONAL (placeholder) hasta contar con la base oficial mensual.
kpis-proteccion-social,12,Bienestar Social · Movilidad Social,serie_historica,movilidad,var(--azul),var(--azul-pale),5.080,créditos otorgados en julio 2026,count,,Serie histórica disponible: 2018-2025 (provisional),,,2020,3100,,,,,,FALSE,,,Cifra actual real (julio 2026); serie histórica 2018-2025 es PROVISIONAL (placeholder) hasta contar con la base oficial mensual.
kpis-proteccion-social,12,Bienestar Social · Movilidad Social,serie_historica,movilidad,var(--azul),var(--azul-pale),5.080,créditos otorgados en julio 2026,count,,Serie histórica disponible: 2018-2025 (provisional),,,2021,3600,,,,,,FALSE,,,Cifra actual real (julio 2026); serie histórica 2018-2025 es PROVISIONAL (placeholder) hasta contar con la base oficial mensual.
kpis-proteccion-social,12,Bienestar Social · Movilidad Social,serie_historica,movilidad,var(--azul),var(--azul-pale),5.080,créditos otorgados en julio 2026,count,,Serie histórica disponible: 2018-2025 (provisional),,,2022,4000,,,,,,FALSE,,,Cifra actual real (julio 2026); serie histórica 2018-2025 es PROVISIONAL (placeholder) hasta contar con la base oficial mensual.
kpis-proteccion-social,12,Bienestar Social · Movilidad Social,serie_historica,movilidad,var(--azul),var(--azul-pale),5.080,créditos otorgados en julio 2026,count,,Serie histórica disponible: 2018-2025 (provisional),,,2023,4300,,,,,,FALSE,,,Cifra actual real (julio 2026); serie histórica 2018-2025 es PROVISIONAL (placeholder) hasta contar con la base oficial mensual.
kpis-proteccion-social,12,Bienestar Social · Movilidad Social,serie_historica,movilidad,var(--azul),var(--azul-pale),5.080,créditos otorgados en julio 2026,count,,Serie histórica disponible: 2018-2025 (provisional),,,2024,4650,,,,,,FALSE,,,Cifra actual real (julio 2026); serie histórica 2018-2025 es PROVISIONAL (placeholder) hasta contar con la base oficial mensual.
kpis-proteccion-social,12,Bienestar Social · Movilidad Social,serie_historica,movilidad,var(--azul),var(--azul-pale),5.080,créditos otorgados en julio 2026,count,,Serie histórica disponible: 2018-2025 (provisional),,,2025,4900,,,,,,FALSE,,,Cifra actual real (julio 2026); serie histórica 2018-2025 es PROVISIONAL (placeholder) hasta contar con la base oficial mensual.
