programa_slug,programa_nombre,anio,mes,fecha_corte,beneficiarios,monto_devengado_musd,es_dato_real,nota
cobertura-contingencias,Cobertura de Contingencias,2024,04,2024-04-28,124,0.05382,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
cobertura-contingencias,Cobertura de Contingencias,2024,05,2024-05-28,209,0.07429,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
cobertura-contingencias,Cobertura de Contingencias,2024,06,2024-06-28,170,0.06417,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
cobertura-contingencias,Cobertura de Contingencias,2024,07,2024-07-28,124,0.06808,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
cobertura-contingencias,Cobertura de Contingencias,2024,08,2024-08-28,153,0.056695,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
cobertura-contingencias,Cobertura de Contingencias,2024,09,2024-09-28,138,0.06256,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
cobertura-contingencias,Cobertura de Contingencias,2024,10,2024-10-28,138,0.058765,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
cobertura-contingencias,Cobertura de Contingencias,2024,11,2024-11-28,131,0.063365,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
cobertura-contingencias,Cobertura de Contingencias,2024,12,2024-12-28,64,0.04922,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bcena,Bono de Contingencia Eventos Origen Natural (BCENA),2024,01,2024-01-28,9,0.0,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bcena,Bono de Contingencia Eventos Origen Natural (BCENA),2024,02,2024-02-28,730,0.007176,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bcena,Bono de Contingencia Eventos Origen Natural (BCENA),2024,03,2024-03-28,3625,0.620885,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bcena,Bono de Contingencia Eventos Origen Natural (BCENA),2024,04,2024-04-28,1379,0.47783,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bcena,Bono de Contingencia Eventos Origen Natural (BCENA),2024,05,2024-05-28,938,0.364032,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bcena,Bono de Contingencia Eventos Origen Natural (BCENA),2024,06,2024-06-28,234,0.206016,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bcena,Bono de Contingencia Eventos Origen Natural (BCENA),2024,07,2024-07-28,269,0.064165,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bcena,Bono de Contingencia Eventos Origen Natural (BCENA),2024,08,2024-08-28,56,0.037889,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bcena,Bono de Contingencia Eventos Origen Natural (BCENA),2024,09,2024-09-28,9,0.004424,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bcena,Bono de Contingencia Eventos Origen Natural (BCENA),2024,10,2024-10-28,68,0.010618,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bcena,Bono de Contingencia Eventos Origen Natural (BCENA),2024,11,2024-11-28,7,0.006707,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bcena,Bono de Contingencia Eventos Origen Natural (BCENA),2024,12,2024-12-28,3,0.000563,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bono-orfandad-femicidio,Bono de Orfandad por Femicidio,2025,01,2025-01-28,317,0.056717,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bono-orfandad-femicidio,Bono de Orfandad por Femicidio,2025,02,2025-02-28,323,0.057353,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bono-orfandad-femicidio,Bono de Orfandad por Femicidio,2025,03,2025-03-28,337,0.060015,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bono-orfandad-femicidio,Bono de Orfandad por Femicidio,2025,04,2025-04-28,348,0.062318,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bono-orfandad-femicidio,Bono de Orfandad por Femicidio,2025,05,2025-05-28,359,0.064299,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bono-orfandad-femicidio,Bono de Orfandad por Femicidio,2025,06,2025-06-28,365,0.065373,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bono-orfandad-femicidio,Bono de Orfandad por Femicidio,2025,07,2025-07-28,376,0.067132,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bono-orfandad-femicidio,Bono de Orfandad por Femicidio,2025,08,2025-08-28,382,0.068156,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bono-orfandad-femicidio,Bono de Orfandad por Femicidio,2025,09,2025-09-28,386,0.0685,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bono-orfandad-femicidio,Bono de Orfandad por Femicidio,2025,10,2025-10-28,386,0.068297,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bono-orfandad-femicidio,Bono de Orfandad por Femicidio,2025,11,2025-11-28,395,0.070046,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bono-orfandad-femicidio,Bono de Orfandad por Femicidio,2025,12,2025-12-28,408,0.071769,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
cobertura-contingencias,Cobertura de Contingencias,2025,01,2025-01-28,74,0.0,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
cobertura-contingencias,Cobertura de Contingencias,2025,02,2025-02-28,222,0.086267,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
cobertura-contingencias,Cobertura de Contingencias,2025,03,2025-03-28,167,0.073063,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
cobertura-contingencias,Cobertura de Contingencias,2025,04,2025-04-28,203,0.068117,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
cobertura-contingencias,Cobertura de Contingencias,2025,05,2025-05-28,179,0.083072,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
cobertura-contingencias,Cobertura de Contingencias,2025,06,2025-06-28,251,0.097172,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
cobertura-contingencias,Cobertura de Contingencias,2025,07,2025-07-28,169,0.09635,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
cobertura-contingencias,Cobertura de Contingencias,2025,08,2025-08-28,163,0.051112,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
cobertura-contingencias,Cobertura de Contingencias,2025,09,2025-09-28,294,0.12737,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
cobertura-contingencias,Cobertura de Contingencias,2025,10,2025-10-28,125,0.086597,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
cobertura-contingencias,Cobertura de Contingencias,2025,11,2025-11-28,102,0.053227,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
cobertura-contingencias,Cobertura de Contingencias,2025,12,2025-12-28,382,0.182477,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bcena,Bono de Contingencia Eventos Origen Natural (BCENA),2025,01,2025-01-28,8,0.0,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bcena,Bono de Contingencia Eventos Origen Natural (BCENA),2025,02,2025-02-28,136,0.00225,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bcena,Bono de Contingencia Eventos Origen Natural (BCENA),2025,03,2025-03-28,6121,0.764785,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bcena,Bono de Contingencia Eventos Origen Natural (BCENA),2025,04,2025-04-28,6272,1.447919,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bcena,Bono de Contingencia Eventos Origen Natural (BCENA),2025,05,2025-05-28,11207,2.251619,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bcena,Bono de Contingencia Eventos Origen Natural (BCENA),2025,06,2025-06-28,4937,2.272959,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bcena,Bono de Contingencia Eventos Origen Natural (BCENA),2025,07,2025-07-28,508,0.644043,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bcena,Bono de Contingencia Eventos Origen Natural (BCENA),2025,08,2025-08-28,5343,0.811679,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bcena,Bono de Contingencia Eventos Origen Natural (BCENA),2025,09,2025-09-28,357,0.751429,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bcena,Bono de Contingencia Eventos Origen Natural (BCENA),2025,10,2025-10-28,1072,0.271803,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bcena,Bono de Contingencia Eventos Origen Natural (BCENA),2025,11,2025-11-28,47,0.012508,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bcena,Bono de Contingencia Eventos Origen Natural (BCENA),2025,12,2025-12-28,4,0.009445,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bono-orfandad-femicidio,Bono de Orfandad por Femicidio,2026,01,2026-01-28,418,0.076331,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bono-orfandad-femicidio,Bono de Orfandad por Femicidio,2026,02,2026-02-28,419,0.076715,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bono-orfandad-femicidio,Bono de Orfandad por Femicidio,2026,03,2026-03-28,417,0.076292,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bono-orfandad-femicidio,Bono de Orfandad por Femicidio,2026,04,2026-04-28,422,0.07709,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bono-orfandad-femicidio,Bono de Orfandad por Femicidio,2026,05,2026-05-28,431,0.078019,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bono-orfandad-femicidio,Bono de Orfandad por Femicidio,2026,06,2026-06-28,432,0.0,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bono-orfandad-femicidio,Bono de Orfandad por Femicidio,2026,07,2026-07-28,441,0.158374,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
cobertura-contingencias,Cobertura de Contingencias,2026,01,2026-01-28,140,0.015784,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
cobertura-contingencias,Cobertura de Contingencias,2026,02,2026-02-28,155,0.055635,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
cobertura-contingencias,Cobertura de Contingencias,2026,03,2026-03-28,247,0.130152,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
cobertura-contingencias,Cobertura de Contingencias,2026,04,2026-04-28,77,0.063709,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
cobertura-contingencias,Cobertura de Contingencias,2026,05,2026-05-28,245,0.085793,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
cobertura-contingencias,Cobertura de Contingencias,2026,06,2026-06-28,225,0.094231,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
cobertura-contingencias,Cobertura de Contingencias,2026,07,2026-07-28,240,0.092062,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bcena,Bono de Contingencia Eventos Origen Natural (BCENA),2026,01,2026-01-28,49,0.000288,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bcena,Bono de Contingencia Eventos Origen Natural (BCENA),2026,02,2026-02-28,191,0.028374,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bcena,Bono de Contingencia Eventos Origen Natural (BCENA),2026,03,2026-03-28,1919,0.39424,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bcena,Bono de Contingencia Eventos Origen Natural (BCENA),2026,04,2026-04-28,8421,2.360026,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bcena,Bono de Contingencia Eventos Origen Natural (BCENA),2026,05,2026-05-28,14490,3.122266,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bcena,Bono de Contingencia Eventos Origen Natural (BCENA),2026,06,2026-06-28,18287,6.018061,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
bcena,Bono de Contingencia Eventos Origen Natural (BCENA),2026,07,2026-07-28,1497,0.446846,TRUE,"Dato real: Consolidado_24_NOV_2023-22_JUL_2026_Femicidio_Contin_y_BECENA.xlsx (caracterización solo a nivel nacional, sin desagregación provincial)."
