area,registro_id,indicador,tipo_registro,icono,color,color_claro,headline,headline_sufijo,unidad,tendencia_direccion,tendencia_texto,meta_pct,meta_label,anio,valor,tabulado_encabezado_categoria,tabulado_encabezado_valor,desagregacion_categoria,desagregacion_valor,impacto_texto,es_dato_real,titulo_construccion,mensaje_construccion,nota
kpis-movilidad-social,,Movilidad Social,desagregacion_actual,home,var(--azul),var(--azul-pale),5.080,créditos otorgados en julio 2026,count,up,Dato real de julio 2026,89,del monto de créditos corresponde a la modalidad de 24 meses,,,Detalle,Valor,Registros · 12 meses,1.007,"El Crédito de Desarrollo Humano transforma una transferencia periódica en capital inicial para actividades productivas: entrega un anticipo de hasta 24 cuotas del BDH para financiar emprendimientos, con un máximo de 4 créditos por persona, otorgado a través de la Banca Pública.",TRUE,,,Dato real de julio 2026 (resumen_CDH_enero_julio_2026.xlsx).
kpis-movilidad-social,,Movilidad Social,desagregacion_actual,home,var(--azul),var(--azul-pale),5.080,créditos otorgados en julio 2026,count,up,Dato real de julio 2026,89,del monto de créditos corresponde a la modalidad de 24 meses,,,Detalle,Valor,Registros · 24 meses,4.073,"El Crédito de Desarrollo Humano transforma una transferencia periódica en capital inicial para actividades productivas: entrega un anticipo de hasta 24 cuotas del BDH para financiar emprendimientos, con un máximo de 4 créditos por persona, otorgado a través de la Banca Pública.",TRUE,,,Dato real de julio 2026 (resumen_CDH_enero_julio_2026.xlsx).
kpis-movilidad-social,,Movilidad Social,desagregacion_actual,home,var(--azul),var(--azul-pale),5.080,créditos otorgados en julio 2026,count,up,Dato real de julio 2026,89,del monto de créditos corresponde a la modalidad de 24 meses,,,Detalle,Valor,Monto total · 12 meses,"USD 0,62 millones","El Crédito de Desarrollo Humano transforma una transferencia periódica en capital inicial para actividades productivas: entrega un anticipo de hasta 24 cuotas del BDH para financiar emprendimientos, con un máximo de 4 créditos por persona, otorgado a través de la Banca Pública.",TRUE,,,Dato real de julio 2026 (resumen_CDH_enero_julio_2026.xlsx).
kpis-movilidad-social,,Movilidad Social,desagregacion_actual,home,var(--azul),var(--azul-pale),5.080,créditos otorgados en julio 2026,count,up,Dato real de julio 2026,89,del monto de créditos corresponde a la modalidad de 24 meses,,,Detalle,Valor,Monto total · 24 meses,"USD 4,84 millones","El Crédito de Desarrollo Humano transforma una transferencia periódica en capital inicial para actividades productivas: entrega un anticipo de hasta 24 cuotas del BDH para financiar emprendimientos, con un máximo de 4 créditos por persona, otorgado a través de la Banca Pública.",TRUE,,,Dato real de julio 2026 (resumen_CDH_enero_julio_2026.xlsx).
kpis-movilidad-social,,Movilidad Social,desagregacion_actual,home,var(--azul),var(--azul-pale),5.080,créditos otorgados en julio 2026,count,up,Dato real de julio 2026,89,del monto de créditos corresponde a la modalidad de 24 meses,,,Detalle,Valor,Canal,Banca pública,"El Crédito de Desarrollo Humano transforma una transferencia periódica en capital inicial para actividades productivas: entrega un anticipo de hasta 24 cuotas del BDH para financiar emprendimientos, con un máximo de 4 créditos por persona, otorgado a través de la Banca Pública.",TRUE,,,Dato real de julio 2026 (resumen_CDH_enero_julio_2026.xlsx).
