registro_id,indicador,anio_corte,mes_corte,grupo,categoria,usuarios,es_dato_real,nota
7,Bienestar Social · Personas con Discapacidad (PCD),2026,07,rango_edad,6-11 años Hombre,6,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
7,Bienestar Social · Personas con Discapacidad (PCD),2026,07,rango_edad,6-11 años Mujer,4,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
7,Bienestar Social · Personas con Discapacidad (PCD),2026,07,rango_edad,12-14 años Hombre,9,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
7,Bienestar Social · Personas con Discapacidad (PCD),2026,07,rango_edad,12-14 años Mujer,2,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
7,Bienestar Social · Personas con Discapacidad (PCD),2026,07,rango_edad,15-17 años Hombre,26,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
7,Bienestar Social · Personas con Discapacidad (PCD),2026,07,rango_edad,15-17 años Mujer,15,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
7,Bienestar Social · Personas con Discapacidad (PCD),2026,07,rango_edad,18-29 años Hombre,5028,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
7,Bienestar Social · Personas con Discapacidad (PCD),2026,07,rango_edad,18-29 años Mujer,4426,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
7,Bienestar Social · Personas con Discapacidad (PCD),2026,07,rango_edad,30-64 años Hombre,13640,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
7,Bienestar Social · Personas con Discapacidad (PCD),2026,07,rango_edad,30-64 años Mujer,13692,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
7,Bienestar Social · Personas con Discapacidad (PCD),2026,07,rango_edad,65 y más años Hombre,98,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
7,Bienestar Social · Personas con Discapacidad (PCD),2026,07,rango_edad,65 y más años Mujer,105,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
6,Bienestar Social · Protección Especial (PE),2026,07,rango_edad,0-3 años Hombre,589,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
6,Bienestar Social · Protección Especial (PE),2026,07,rango_edad,0-3 años Mujer,584,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
6,Bienestar Social · Protección Especial (PE),2026,07,rango_edad,4-5 años Hombre,673,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
6,Bienestar Social · Protección Especial (PE),2026,07,rango_edad,4-5 años Mujer,656,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
6,Bienestar Social · Protección Especial (PE),2026,07,rango_edad,6-11 años Hombre,6024,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
6,Bienestar Social · Protección Especial (PE),2026,07,rango_edad,6-11 años Mujer,5791,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
6,Bienestar Social · Protección Especial (PE),2026,07,rango_edad,12-14 años Hombre,2802,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
6,Bienestar Social · Protección Especial (PE),2026,07,rango_edad,12-14 años Mujer,2783,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
6,Bienestar Social · Protección Especial (PE),2026,07,rango_edad,15-17 años Hombre,1465,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
6,Bienestar Social · Protección Especial (PE),2026,07,rango_edad,15-17 años Mujer,1696,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
6,Bienestar Social · Protección Especial (PE),2026,07,rango_edad,18-29 años Hombre,772,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
6,Bienestar Social · Protección Especial (PE),2026,07,rango_edad,18-29 años Mujer,1370,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
6,Bienestar Social · Protección Especial (PE),2026,07,rango_edad,30-64 años Hombre,1412,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
6,Bienestar Social · Protección Especial (PE),2026,07,rango_edad,30-64 años Mujer,2358,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
6,Bienestar Social · Protección Especial (PE),2026,07,rango_edad,65 y más años Hombre,394,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
6,Bienestar Social · Protección Especial (PE),2026,07,rango_edad,65 y más años Mujer,549,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
8,Bienestar Social · Personas Adultas Mayores (PAM),2026,07,pobreza_2018,Extrema pobreza,17914,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
8,Bienestar Social · Personas Adultas Mayores (PAM),2026,07,pobreza_2018,No pobre,22387,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
8,Bienestar Social · Personas Adultas Mayores (PAM),2026,07,pobreza_2018,Pobre,68069,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
8,Bienestar Social · Personas Adultas Mayores (PAM),2026,07,pobreza_2018,Sin información,5127,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
5,Bienestar Social · Desarrollo Infantil Integral (DII),2026,07,pobreza_2018,Extrema pobreza,88852,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
5,Bienestar Social · Desarrollo Infantil Integral (DII),2026,07,pobreza_2018,No pobre,24972,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
5,Bienestar Social · Desarrollo Infantil Integral (DII),2026,07,pobreza_2018,Pobre,107805,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
5,Bienestar Social · Desarrollo Infantil Integral (DII),2026,07,pobreza_2018,Sin información,64132,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
7,Bienestar Social · Personas con Discapacidad (PCD),2026,07,pobreza_2018,Extrema pobreza,8245,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
7,Bienestar Social · Personas con Discapacidad (PCD),2026,07,pobreza_2018,No pobre,8037,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
7,Bienestar Social · Personas con Discapacidad (PCD),2026,07,pobreza_2018,Pobre,19034,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
7,Bienestar Social · Personas con Discapacidad (PCD),2026,07,pobreza_2018,Sin información,1736,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
6,Bienestar Social · Protección Especial (PE),2026,07,pobreza_2018,Extrema pobreza,6295,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
6,Bienestar Social · Protección Especial (PE),2026,07,pobreza_2018,No pobre,1813,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
6,Bienestar Social · Protección Especial (PE),2026,07,pobreza_2018,Pobre,7170,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
6,Bienestar Social · Protección Especial (PE),2026,07,pobreza_2018,Sin información,14640,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
8,Bienestar Social · Personas Adultas Mayores (PAM),2026,07,pobreza_2025,Extrema pobreza,26518,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
8,Bienestar Social · Personas Adultas Mayores (PAM),2026,07,pobreza_2025,No pobre,32418,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
8,Bienestar Social · Personas Adultas Mayores (PAM),2026,07,pobreza_2025,Pobre,50417,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
8,Bienestar Social · Personas Adultas Mayores (PAM),2026,07,pobreza_2025,Sin información,4144,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
5,Bienestar Social · Desarrollo Infantil Integral (DII),2026,07,pobreza_2025,Extrema pobreza,113780,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
5,Bienestar Social · Desarrollo Infantil Integral (DII),2026,07,pobreza_2025,No pobre,37234,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
5,Bienestar Social · Desarrollo Infantil Integral (DII),2026,07,pobreza_2025,Pobre,109680,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
5,Bienestar Social · Desarrollo Infantil Integral (DII),2026,07,pobreza_2025,Sin información,25067,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
7,Bienestar Social · Personas con Discapacidad (PCD),2026,07,pobreza_2025,Extrema pobreza,8026,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
7,Bienestar Social · Personas con Discapacidad (PCD),2026,07,pobreza_2025,No pobre,11525,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
7,Bienestar Social · Personas con Discapacidad (PCD),2026,07,pobreza_2025,Pobre,16088,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
7,Bienestar Social · Personas con Discapacidad (PCD),2026,07,pobreza_2025,Sin información,1413,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
6,Bienestar Social · Protección Especial (PE),2026,07,pobreza_2025,Extrema pobreza,6885,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
6,Bienestar Social · Protección Especial (PE),2026,07,pobreza_2025,No pobre,2335,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
6,Bienestar Social · Protección Especial (PE),2026,07,pobreza_2025,Pobre,6584,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
6,Bienestar Social · Protección Especial (PE),2026,07,pobreza_2025,Sin información,14114,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
8,Bienestar Social · Personas Adultas Mayores (PAM),2026,07,etnia,Mestizo/a,74833,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
8,Bienestar Social · Personas Adultas Mayores (PAM),2026,07,etnia,Indígena,19616,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
8,Bienestar Social · Personas Adultas Mayores (PAM),2026,07,etnia,Montuvio/a,12669,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
8,Bienestar Social · Personas Adultas Mayores (PAM),2026,07,etnia,Otro/a,3075,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
8,Bienestar Social · Personas Adultas Mayores (PAM),2026,07,etnia,Afroecuatoriano/a Afrodescendiente,2057,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
8,Bienestar Social · Personas Adultas Mayores (PAM),2026,07,etnia,Mulato/a,487,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
8,Bienestar Social · Personas Adultas Mayores (PAM),2026,07,etnia,Negro/a,482,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
8,Bienestar Social · Personas Adultas Mayores (PAM),2026,07,etnia,Blanco/a,277,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
5,Bienestar Social · Desarrollo Infantil Integral (DII),2026,07,etnia,Mestizo/a,201161,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
5,Bienestar Social · Desarrollo Infantil Integral (DII),2026,07,etnia,Indígena,36108,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
5,Bienestar Social · Desarrollo Infantil Integral (DII),2026,07,etnia,Montuvio/a,29638,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
5,Bienestar Social · Desarrollo Infantil Integral (DII),2026,07,etnia,Otro/a,8730,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
5,Bienestar Social · Desarrollo Infantil Integral (DII),2026,07,etnia,Afroecuatoriano/a Afrodescendiente,6695,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
5,Bienestar Social · Desarrollo Infantil Integral (DII),2026,07,etnia,Mulato/a,1710,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
5,Bienestar Social · Desarrollo Infantil Integral (DII),2026,07,etnia,Negro/a,1098,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
5,Bienestar Social · Desarrollo Infantil Integral (DII),2026,07,etnia,Blanco/a,589,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
7,Bienestar Social · Personas con Discapacidad (PCD),2026,07,etnia,Mestizo/a,28851,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
7,Bienestar Social · Personas con Discapacidad (PCD),2026,07,etnia,Indígena,3128,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
