area,registro_id,indicador,tipo_registro,icono,color,color_claro,headline,headline_sufijo,unidad,tendencia_direccion,tendencia_texto,meta_pct,meta_label,anio,valor,tabulado_encabezado_categoria,tabulado_encabezado_valor,desagregacion_categoria,desagregacion_valor,impacto_texto,es_dato_real,titulo_construccion,mensaje_construccion,nota
kpis-trabajo,1,Trabajo · Jubilados,pendiente,doc,var(--subtexto),var(--gris),,,,,,,,,,,,,,,FALSE,Jubilados,Esta sección está en construcción porque aún no existe una base oficial cargada en datos/.,Sin cifras: se mantiene únicamente el estado En construcción hasta cargar una base oficial.
kpis-trabajo,2,Trabajo · Contratos,pendiente,doc,var(--subtexto),var(--gris),,,,,,,,,,,,,,,FALSE,Contratos,Esta sección está en construcción porque aún no existe una base oficial cargada en datos/.,Sin cifras: se mantiene únicamente el estado En construcción hasta cargar una base oficial.
