area,registro_id,indicador,tipo_registro,icono,color,color_claro,headline,headline_sufijo,unidad,tendencia_direccion,tendencia_texto,meta_pct,meta_label,anio,valor,tabulado_encabezado_categoria,tabulado_encabezado_valor,desagregacion_categoria,desagregacion_valor,impacto_texto,es_dato_real,titulo_construccion,mensaje_construccion,nota
kpis-pueblos,3,Pueblos y Nacionalidades · Iniciativas Económicas,pendiente,doc,var(--subtexto),var(--gris),,,,,,,,,,,,,,,FALSE,Iniciativas Económicas,Esta sección está en construcción porque aún no existe una base oficial cargada en datos/.,Sin cifras: se mantiene únicamente el estado En construcción hasta cargar una base oficial.
kpis-pueblos,4,Pueblos y Nacionalidades · Resoluciones,pendiente,doc,var(--subtexto),var(--gris),,,,,,,,,,,,,,,FALSE,Resoluciones,Esta sección está en construcción porque aún no existe una base oficial cargada en datos/.,Sin cifras: se mantiene únicamente el estado En construcción hasta cargar una base oficial.
